iter	RMSE
275	26.45561121
276	26.44169999
277	26.42457969
278	26.40775395
279	26.39317054
280	26.37667239
281	26.35854296
282	26.33938694
283	26.32895801
284	26.31472318
285	26.2901466
286	26.2751103
287	26.25800696
288	26.240876
289	26.22359806
290	26.20603792
291	26.19409488
292	26.17271958
293	26.1482465
294	26.13740132
295	26.11993792
296	26.10546529
297	26.08945716
298	26.07843117
299	26.05959937
300	26.05004247
301	26.03889765
302	26.0124828
303	25.9951407
304	25.9693445
305	25.94365956
306	25.92257775
307	25.91185958
308	25.90408625
309	25.88666774
310	25.85694397
311	25.8465402
312	25.82823741
313	25.81064701
314	25.78756578
315	25.76571409
316	25.74980069
317	25.73630305
318	25.72230347
319	25.7129518
320	25.69521416
321	25.68280989
322	25.664725
323	25.64309879
324	25.62491163
325	25.60578323
326	25.592491
327	25.57810352
328	25.56500742
329	25.5524555
330	25.53996499
331	25.52611763
332	25.51045187
333	25.49922665
334	25.49028772
335	25.47245598
336	25.45420509
337	25.43766005
338	25.42104734
339	25.40419762
340	25.39102615
341	25.38374214
342	25.36275333
343	25.34538063
344	25.33046031
345	25.317549
346	25.30743379
347	25.29162251
348	25.2789412
349	25.26415047
350	25.24860934
351	25.23347943
352	25.21844586
353	25.20675995
354	25.19200635
355	25.1685377
356	25.15256222
357	25.13261776
358	25.11183047
359	25.09461102
360	25.08470921
361	25.07211666
362	25.05796007
363	25.03421943
364	25.00770439
365	24.99215796
366	24.9793239
367	24.96222329
368	24.94499233
369	24.92494563
370	24.91223951
371	24.89736361
372	24.88787754
373	24.87212601
374	24.84751723
375	24.83851991
376	24.82987657
377	24.81396531
378	24.79724889
379	24.78367846
380	24.77320722
381	24.75045642
382	24.7283008
383	24.71849574
384	24.7032446
385	24.68434276
386	24.67254803
387	24.65631103
388	24.64068163
389	24.62292893
390	24.61287795
391	24.59655819
392	24.58139451
393	24.56740707
394	24.55260189
395	24.5332363
396	24.51682835
397	24.4947281
398	24.48433318
399	24.46497613
400	24.45147724
401	24.43625255
402	24.42192281
403	24.40603506
404	24.3902828
405	24.37091311
406	24.36020589
407	24.34946464
408	24.3321423
409	24.32078358
410	24.30402511
411	24.28938479
412	24.27491519
413	24.26241723
414	24.25554899
415	24.24351566
416	24.23422006
417	24.22135815
418	24.20850358
419	24.19656153
420	24.18058047
421	24.17349943
422	24.15920064
423	24.15107852
424	24.1370052
425	24.12893355
426	24.11910517
427	24.10587516
428	24.08872354
429	24.06837564
430	24.05307233
431	24.04341623
432	24.0287954
433	24.01110455
434	23.99058543
435	23.98054735
436	23.96981396
437	23.95458246
438	23.93741627
439	23.92542525
440	23.90891763
441	23.89340102
442	23.87165827
443	23.85630577
444	23.84529708
445	23.82914219
446	23.81223434
447	23.80371478
448	23.78628081
449	23.77059169
450	23.75910237
451	23.75390331
452	23.73374895
453	23.71975016
454	23.70410378
455	23.6895431
456	23.67544576
457	23.6622902
458	23.64556449
459	23.62608922
460	23.61228978
461	23.60188107
462	23.58191114
463	23.56617254
464	23.55592593
465	23.54400161
466	23.5295772
467	23.51553172
468	23.4980691
469	23.47600784
470	23.4627923
471	23.44847914
472	23.43217862
473	23.42096838
474	23.41104156
475	23.40094496
476	23.39506368
477	23.38153458
478	23.36911722
479	23.34932651
480	23.33786794
481	23.3268214
482	23.31347277
483	23.30785608
484	23.29568479
485	23.28847019
486	23.27504684
487	23.26671097
488	23.25615267
489	23.2442301
490	23.23315352
491	23.2252241
492	23.21530103
493	23.20739456
494	23.19907847
495	23.18813807
496	23.17174762
497	23.16190856
498	23.14920688
499	23.14046795
500	23.125655
501	23.11659139
502	23.10591229
503	23.09463485
504	23.08258762
505	23.072733
506	23.06354755
507	23.05160828
508	23.04130204
509	23.02744866
510	23.01299072
511	23.0065294
512	22.99908621
513	22.98737764
514	22.97430643
515	22.96505277
516	22.95648298
517	22.94746585
518	22.93818139
519	22.92620569
520	22.91644004
521	22.90436321
522	22.89523676
523	22.88482584
524	22.87125072
525	22.86129096
526	22.85261327
527	22.8380174
528	22.82163152
529	22.80774916
530	22.79676284
531	22.78590021
532	22.77618635
533	22.76522856
534	22.75234701
535	22.74021225
536	22.72348708
537	22.71717136
538	22.70660939
539	22.69051973
540	22.67948006
541	22.67310518
542	22.66574254
543	22.65085003
544	22.63699084
545	22.62767864
546	22.6165641
547	22.60608364
548	22.59785852
549	22.58259196
550	22.56533415
551	22.55561606
552	22.54943617
553	22.53739905
554	22.52411056
555	22.51447663
556	22.50648033
557	22.4978951
558	22.48947594
559	22.48084898
560	22.4729979
561	22.46209635
562	22.45461876
563	22.44266264
564	22.42925593
565	22.42131553
566	22.4107732
567	22.40135689
568	22.39480119
569	22.38665291
570	22.3795263
571	22.36881262
572	22.35753498
573	22.34335219
574	22.32040016
575	22.30524935
576	22.29995394
577	22.2846958
578	22.27493999
579	22.26551286
580	22.25630299
581	22.24107823
582	22.22859182
583	22.21829705
584	22.20844938
585	22.19424171
586	22.18746393
587	22.18116092
588	22.16660702
589	22.15598126
590	22.14180108
591	22.13071914
592	22.12008489
593	22.11359436
594	22.10264762
595	22.08939597
596	22.07293147
597	22.06365378
598	22.05358584
599	22.04747759
600	22.03680538
601	22.02752306
602	22.01671485
603	22.00126206
604	21.99017489
605	21.97805529
606	21.96847975
607	21.96096491
608	21.94888654
609	21.94178698
610	21.93599205
611	21.92361679
612	21.91317123
613	21.89860946
614	21.88522747
615	21.87926423
616	21.87203136
617	21.86424615
618	21.8531214
619	21.84189227
620	21.83292096
621	21.82422424
622	21.81793941
623	21.79687104
624	21.78998606
625	21.77558728
626	21.77030794
627	21.76106319
628	21.74841286
629	21.73780343
630	21.72899263
631	21.7218792
632	21.70964076
633	21.70008316
634	21.68905379
635	21.67169559
636	21.66407238
637	21.6542358
638	21.64329092
639	21.63546568
640	21.62579429
641	21.61748702
642	21.6100413
643	21.602852
644	21.5934731
645	21.5830621
646	21.57679505
647	21.57322277
648	21.56556853
649	21.54843647
650	21.53801979
651	21.52786274
652	21.51661318
653	21.51126381
654	21.50472768
655	21.49767947
656	21.48776466
657	21.47990973
658	21.4698216
659	21.45907675
660	21.4435856
661	21.43552657
662	21.4260264
663	21.41516718
664	21.40449789
665	21.39838233
666	21.39009408
667	21.38313186
668	21.37614765
669	21.36838564
670	21.35743627
671	21.34506275
672	21.33668439
673	21.32828619
674	21.31896797
675	21.31170821
676	21.2998956
677	21.28968775
678	21.28177533
679	21.27287348
680	21.26206721
681	21.25505724
682	21.24487865
683	21.23461874
684	21.22559161
685	21.22115056
686	21.20739368
687	21.20017266
688	21.18524772
689	21.17463645
690	21.16399903
691	21.15476
692	21.14323655
693	21.12772295
694	21.11826292
695	21.11284295
696	21.10556939
697	21.09704164
698	21.08978051
699	21.07841515
700	21.07126948
701	21.06193988
702	21.04862964
703	21.03826081
704	21.03068607
705	21.02170379
706	21.0094059
707	21.00002349
708	20.99132953
709	20.98075605
710	20.9699799
711	20.96099449
712	20.95098723
713	20.94173863
714	20.93289173
715	20.91994675
716	20.90768839
717	20.89169051
718	20.88240566
719	20.87418318
720	20.86757447
721	20.8604659
722	20.85272688
723	20.84000831
724	20.82693687
725	20.81711415
726	20.81039104
727	20.8024675
728	20.7925862
729	20.78498361
730	20.78034655
731	20.77189673
732	20.76358236
733	20.75756835
734	20.74990442
735	20.74243846
736	20.736686
737	20.72817696
738	20.71892283
739	20.70864209
740	20.6979159
741	20.68599252
742	20.67879562
743	20.6691666
744	20.66157362
745	20.65189437
746	20.64084148
747	20.6349925
748	20.62657674
749	20.6173557
750	20.6064879
751	20.59794281
752	20.59006271
753	20.57988068
754	20.57117353
755	20.56391803
756	20.55296983
757	20.53925435
758	20.5298479
759	20.52008713
760	20.51159396
761	20.50307554
762	20.49328108
763	20.48710593
764	20.4780139
765	20.46799791
766	20.45968347
767	20.45277864
768	20.44362923
769	20.43284304
770	20.4234941
771	20.41868431
772	20.41137977
773	20.39750754
774	20.38963976
775	20.37708023
776	20.36553571
777	20.35325219
778	20.34644202
779	20.33678528
780	20.32812539
781	20.32236405
782	20.31282651
783	20.30518954
784	20.29559048
785	20.28357432
786	20.27817468
787	20.26921936
788	20.26260079
789	20.25321986
790	20.24171744
791	20.23162906
792	20.22164169
793	20.21682322
794	20.20547783
795	20.19628345
796	20.19181886
797	20.18656585
798	20.177395
799	20.16874178
800	20.16075847
801	20.15281003
802	20.14544301
803	20.1339632
804	20.11966033
805	20.11077371
806	20.10423379
807	20.09684042
808	20.08632477
809	20.07705962
810	20.06708889
811	20.06220955
812	20.05594452
813	20.04540379
814	20.03764251
815	20.02807716
816	20.02228955
817	20.01137807
818	20.00412032
819	19.99407215
820	19.98234977
821	19.97495654
822	19.96010829
823	19.95048657
824	19.94201301
825	19.93695771
826	19.9300191
827	19.92185067
828	19.91445973
829	19.90678077
830	19.89714188
831	19.89215692
832	19.88513774
833	19.87464002
834	19.86662588
835	19.86043882
836	19.85101566
837	19.84100484
838	19.83390778
839	19.82682711
840	19.81952996
841	19.8115272
842	19.80462167
843	19.79678765
844	19.79119211
845	19.78448229
846	19.77395028
847	19.76312905
848	19.7567083
849	19.75219125
850	19.74242099
851	19.73385439
852	19.72550947
853	19.71806268
854	19.71012083
855	19.70111153
856	19.69206801
857	19.68244006
858	19.66891622
859	19.66208418
860	19.65512842
861	19.64947333
862	19.64320874
863	19.63657604
864	19.63076253
865	19.62258291
866	19.60785662
867	19.59954421
868	19.5893434
869	19.58293591
870	19.57402496
871	19.56788422
872	19.56151552
873	19.5549753
874	19.54508319
875	19.53806001
876	19.53280168
877	19.52788567
878	19.52233027
879	19.51481202
880	19.50928909
881	19.50246778
882	19.49399677
883	19.48800782
884	19.48165185
885	19.47530222
886	19.46882101
887	19.46484099
888	19.45400112
889	19.44658452
890	19.44053747
891	19.43012696
892	19.4236511
893	19.4142333
894	19.40932006
895	19.40397113
896	19.39987123
897	19.39365281
898	19.38413078
899	19.37490932
900	19.36830844
901	19.36085889
902	19.35437665
903	19.34728542
904	19.3393144
905	19.33233692
906	19.32556919
907	19.31677426
908	19.3113651
909	19.30384874
910	19.29791941
911	19.28764334
912	19.27610908
913	19.26725666
914	19.26053815
915	19.24892712
916	19.2393784
917	19.23187566
918	19.22860616
919	19.2235685
920	19.21653904
921	19.20913842
922	19.20022551
923	19.19302457
924	19.18653395
925	19.18136451
926	19.17705758
927	19.17053898
928	19.16354228
929	19.15692468
930	19.15164654
931	19.15040611
932	19.14222259
933	19.13456876
934	19.12299768
935	19.11464057
936	19.10939945
937	19.10540187
938	19.09719772
939	19.09206475
940	19.08571237
941	19.07862941
942	19.07213369
943	19.0655348
944	19.05851624
945	19.05176641
946	19.04759424
947	19.03871805
948	19.03289981
949	19.02972085
950	19.02362865
951	19.0134496
952	19.00710721
953	18.99890304
954	18.99150959
955	18.98738419
956	18.9778327
957	18.97106159
958	18.96333493
959	18.95544179
960	18.94913318
961	18.94252847
962	18.93586461
963	18.92446978
964	18.9197098
965	18.91413979
966	18.91135393
967	18.9066568
968	18.89893171
969	18.89318363
970	18.88465243
971	18.8780717
972	18.8749115
973	18.86722303
974	18.86428852
975	18.85380795
976	18.84453161
977	18.83310666
978	18.82810378
979	18.82142195
980	18.81294856
981	18.80559499
982	18.79925608
983	18.79006801
984	18.78121117
985	18.77392848
986	18.76679168
987	18.76006873
988	18.74915974
989	18.74384701
990	18.73530811
991	18.73072331
992	18.72433018
993	18.71642669
994	18.71069979
995	18.70546341
996	18.70130282
997	18.69558051
998	18.68487175
999	18.67633973
